tahun,sub_holding,sub_holding_original,unit_operasi,wilayah_kerja,luasan_offsite_ha,luasan_overlap_ha,luasan_total_ha,location_adjacent,location_overlapped,biodiversity_score,biodiversity_category,fauna_names,fauna_released_count,flora_names
2024,SH PNRE,SH PNRE,PGE Area Karaha,,,0.23,0.23,yes,yes,,,,,"Alpukat aligator, Ki Damar, Puspa, dan Pinang Jawa (Persea americana, Agathis dammara, Schima wallichii, Pinanga javana)
Jumlah individu: 281"
2024,SH PNRE,SH PNRE,PGE Area Lahendong,,0.7,6.94,7.64,no,no,,,"Macaca nigra (Monyet Wolai/ Yak), Status IUCN : Dilindungi Peraturan Perundang-undangan (DL), Critically endangered (CR)",4,Krisan Kulo dan Krisan Riri (Chrysanthemum Indicum) : 42.000
2024,SH PNRE,SH PNRE,PGE Area Lumutbalai,,,1.21,1.21,yes,yes,,,,,
2024,SH PNRE,SH PNRE,PGE Area Sibayak,,,,,yes,no,,,,,
2024,SH PNRE,SH PNRE,PGE Area Ulubelu,,1.22,2.25,3.47,yes,yes,,,Kambing Saburai (endemik Ulubelu),,"Tarum/ Nila/ Indigo (Indigofera zollingeriana)
Jumlah Individu: 8.000"
2024,SH PNRE,SH PNRE,PPI,,,,,no,no,,,,,
2024,SH Upstream,SH Upstream,Badak NGL,,31.13,538.7,569.83,no,,3.803,Tinggi,"1. Orangutan (Pongo Pygmaeus) - CR
2. Bekantan (Nasalis larvatus) - EN
3. Owa Kelawat (Hylobates muelleri) - EN
4. Lutung Abu-Abu Kutai (Presbytis canicrus) - VU
5. Lutung Kelabu (Trachypithecus cristatus) - VU",85,"1. Meranti Merah (Shorea johorensis) - CR
2. Gaharu (Aquilaria malaccensis) - CR
3. Sawo Kecik (Chrysophyllum claraense) - CR
4. Anggrek Kelip (Phalaenopsis bellina) - NE"
2024,SH Upstream,SH Upstream,Elnusa,,,,,no,,,,,,
2024,SH Upstream,SH Upstream,PDSI,,5,,5,no,,,,,,
2024,SH Upstream,SH Upstream,Region 1,PT Pertamina EP Asset 1 Field Jambi,,2,2,,yes,2.579,Sedang,,,"1. Bulian (Eusideroxylon zwageri) - VU
2. Jelutung (Dyera polyphylla) - VU
3. Angsana (Pterocarpus indicus) - EN
4. Gaharu (Aquilaria malaccensis) - CR"
2024,SH Upstream,SH Upstream,Region 1,PT PHE Jambi Merang,39.62,4.05,43.67,,yes,2.665,Sedang,"1. Owa Ungko (Hylobates agilis) - EN
2. Gajah Sumatera (Elephas maximus sumatranus) - CR",0,"1. Jelutung (Dyera costulata) - LC
2. Pinang (Areca catechu) - DD
3. Petai (Parkia speciosa) - LC
4. Nanas (Ananas comosus)"
2024,SH Upstream,SH Upstream,Region 1,Pertamina Hulu Rokan,79725.34,2846.45,82571.79,,yes,3.22,Tinggi,"1. Owa Ungko (Hylobates agilis) - EN
2. Lutung Kelabu (Trachypithecus cristatus) - VU
3. Lutung Simpai (Presbytis melalophos) - EN
4. Beruk (Macaca nemestrina) - EN
5. Gajah Sumatera (Elephas maximus ssp sumatranus) - CR
6. Harimau Sumatera (Panthera tigris ssp sumatrae) - EN
7. Monyet Ekor Panjang (Macaca fascicularis) - EN
8. Kekah (Presbytis percura) - CR
9. Kukang (Nycticebus coucang) - EN
10. Lutung Kokah (Presbytis femoralis percura) - CR
11. Bantet Ekor Panjang (Psittacula longicauda) - VU
12. Kerak Kerbau (Acridotheres javanicus) - VU
13. Lainnya - LC",5159,"1. Mahoni (Swietenia macrophylla) - EN
2. Keruing (Dipterocarpus crinitus) - VU
3. Kelat Nasi (Syzygium zeylanicum) - EN
4. Gaharu Buaya (Aetoxylon sympetalum) - VU
5. Gaharu (Aquilaria malaccensis) - CR
6. Lainnya - LC"
2024,SH Upstream,SH Upstream,Region 1,PT PHE OK,,10,10,yes,,2.21,Sedang,"1. Ikan Belida Sumatera (Chitala lopis) - EN
2. Ikan Belida Kalimantan (Chitala borneensis) - LC",,1. Gaharu buaya (Aetoxylon sympetalum) - VU
2024,SH Upstream,SH Upstream,Region 1,PT PHE Raja Tempirai,,2.08,2.08,yes,,0.72,Rendah,,,1. Damar putih (Agathis labilladierei)
2024,SH Upstream,SH Upstream,Region 1,PT Pertamina EP Asset 1 Field Ramba,,24.54,24.54,yes,,1.29,Rendah,"1. Katak sawah -
2. Biawak -
3. Ular sawah -
4. Perkutut -
5. Babi hutan -
6. Monyet -",21,"1. Jelutung
2. Karet
3. Ketapang Talang
4. Laban
5. Pule
6. Mangga
7. Gelam"
2024,SH Upstream,SH Upstream,Region 1,PT Pertamina EP Asset 2 Field Prabumulih,210,184.9,394.9,yes,,1.32,Rendah,Gajah Sumatera (Elephas maximus ssp.sumatranus) - CR,,"1. Merawan (Hopea mengerawan) - CR
1. Merawan (Hopea mengerawan) - CR
2. Leda/Eucaliptus (Eucalyptus deglupta) - VU
3. Balau Merah (Shorea balangeran) - VU
4. Angsana (Pterocarpus indicus) - EN"
2024,SH Upstream,SH Upstream,Region 1,PT Pertamina EP Asset 2 Field Pendopo,444,0.5,444.5,yes,,3.5,Tinggi,"1. Empuloh Janggut (Alophoxus bres) - EN
2. Elang Tikus (Elanus Caeruleus) - LC
3. Elang Brontok (Nisaetus Cirhatus)- LC
4. Monyet Ekor Panjang (Macaca fascicularis)- EN",,"1. Petanang (Dryobalanops oblongifolia) - EN
2. Jakarinda (Jacaranda Mimisifolia) - VU
3. Pinus (Pinus Merkusi) - VU
4. Angsana (Pteracarpus Indicus) - EN
5. Meranti Belangir (Shorea balangeran) - VU
6. Mahoni (Swietenia macrophylla) - VU
7. Anggrek Bulan Jawa (Dendrelaphis Pictus ) - DL
8. Anggrek Kasut Kuning (Paphiopedilum Primulinum) - CR
9. Anggrek Kasut (Paphiodelium superbiens) - EN
10. Anggrek Bulan Sumatra (Phalaenopsis sumatrana) - DL
11. Anggrek Kelip (Phalaenopsis violacea) - VU"
2024,SH Upstream,SH Upstream,Region 1,PT Pertamina EP Asset 2 Field Limau,60.46,,60.46,no,,4.15,Tinggi,Macan Dahan (Neofelis diardii) - VU,,"1. Cempedak (Artocarpus integer) - VU
2. Beringin (Ficus benjamina) - DD
3. Salam (Syzygium polyanthum) - DD
4. Nangka Sayur (Artocarpus heterophyllus) - DD
5. Aren (Arenga pinata) - LC
6. Akar Wangi (Chrysopogon zizanioides) - DD"
